Ca ids,ICC2861_Control,ICC2861_Stress,ICC283_Control,ICC283_Stress
Ca_09534,0.3333333333333333,0.0,0.0,0.0
Ca_09535,0.0,0.0,0.3333333333333333,0.0
Ca_09536,72.0,57.666666666666664,75.66666666666667,84.33333333333333
Ca_09537,152.0,115.0,98.66666666666667,97.0
Ca_09538,3066.3333333333335,3100.3333333333335,2199.6666666666665,1796.3333333333333
Ca_09539,16.333333333333332,14.0,13.333333333333334,10.0
Ca_09540,93.33333333333333,55.0,51.666666666666664,60.333333333333336
Ca_09541,175.0,132.66666666666666,131.0,136.33333333333334
Ca_09542,15.333333333333334,12.666666666666666,10.666666666666666,13.333333333333334
Ca_09543,36.666666666666664,29.333333333333332,19.666666666666668,50.333333333333336
Ca_09544,35.666666666666664,32.666666666666664,32.333333333333336,33.666666666666664
Ca_09545,464.6666666666667,306.0,274.6666666666667,418.6666666666667
Ca_09546,180.0,127.0,121.0,169.0
Ca_09547,172.0,157.0,135.66666666666666,250.66666666666666
Ca_09548,250.66666666666666,198.0,182.66666666666666,200.66666666666666
Ca_09549,263.0,119.66666666666667,40.333333333333336,86.33333333333333
Ca_09550,8.666666666666666,3.0,0.3333333333333333,4.666666666666667
Ca_09551,1051.6666666666667,895.0,860.6666666666666,612.0
Ca_09552,314.0,261.6666666666667,239.0,281.6666666666667
Ca_09553,5.0,5.0,4.0,3.6666666666666665
Ca_09554,36.666666666666664,32.666666666666664,25.333333333333332,31.666666666666668
Ca_09555,126.0,122.0,112.66666666666667,111.33333333333333
Ca_09556,130.33333333333334,120.66666666666667,52.333333333333336,147.0
Ca_09557,706.0,603.3333333333334,627.0,876.0
Ca_09558,2.3333333333333335,5.333333333333333,1.6666666666666667,3.6666666666666665
Ca_09559,33.666666666666664,26.0,37.0,43.666666666666664
Ca_09560,2862.0,2525.0,1366.3333333333333,2096.0
Ca_09561,281.0,264.3333333333333,216.0,294.3333333333333
Ca_09562,409.6666666666667,240.0,513.6666666666666,503.3333333333333
Ca_09563,45.0,38.666666666666664,33.0,43.333333333333336
Ca_09564,110.66666666666667,110.33333333333333,91.33333333333333,119.0
Ca_09565,95.33333333333333,75.33333333333333,76.33333333333333,57.0
Ca_09566,190.66666666666666,140.0,112.0,138.66666666666666
Ca_09567,147.33333333333334,125.0,136.0,160.33333333333334
Ca_09568,152.0,181.66666666666666,171.33333333333334,217.33333333333334
Ca_09569,130.66666666666666,94.0,70.33333333333333,89.33333333333333
Ca_09570,236.66666666666666,183.0,121.33333333333333,176.33333333333334
