Gene_identifier,Root-Control,Root-SS,Shoot-Control,Shoot-SS
Ca_00502,35.1309,40.2938,17.8703,40.7864
Ca_00503,35.1309,40.2938,17.8703,40.7864
Ca_00504,16.3594,30.398,24.3521,19.4423
Ca_00505,1.0902,1.48765,1.43081,1.53646
Ca_00506,35.2541,44.3099,27.9527,33.9185
Ca_00507,17.0988,13.2099,1724.97,1389.13
Ca_00508,0.0,0.0,0.0,0.0654118
Ca_00509,6.50215,3.02651,6.04911,3.39116
Ca_00510,71.8834,56.6446,20.3935,25.1293
Ca_00511,26.3394,22.9213,15.1561,15.2105
Ca_00512,5.29364,7.53212,7.50336,7.76766
Ca_00513,8.48194,10.7956,11.6047,11.3804
Ca_00514,11.6704,8.67541,14.6713,13.7269
Ca_00515,15.3284,77.0481,19.3928,19.6901
Ca_00516,0.187827,0.0,1.95063,0.925456
Ca_00517,5.61308,5.04632,16.6197,18.2997
