Test-id,Gene,FPKM-SS-C,FPKM-SS-S,FPKM-ST-C,FPKM-ST-S
XLOC_018009,Ca_13318,21.2894,15.8671,11.1345,11.3829
XLOC_018010,Ca_13319,0.300707,0.304637,0.0368089,0.255982
XLOC_018011,Ca_13320,11.533,10.926,9.73367,11.5754
XLOC_018012,Ca_13321,0.617872,0.484682,0.171525,0.239216
XLOC_018013,Ca_13322,23.8669,28.2919,17.9389,22.9063
XLOC_016078,Ca_13323,22.2075,15.809,17.6087,15.9295
XLOC_018014,Ca_13324,22.7269,21.3295,25.1281,23.0954
XLOC_018015,Ca_13325,10.3683,9.08318,10.7192,9.29389
XLOC_018016,Ca_13326,21.0117,22.9603,22.4398,25.8354
XLOC_016079,Ca_13327,87.3069,87.9152,73.4205,96.162
XLOC_016080,Ca_13328,15.1075,17.1193,19.0984,18.5254
XLOC_016081,Ca_13329,6.04591,4.31885,15.7535,18.497
XLOC_018017,Ca_13330,7.58732,6.60698,6.69699,6.96151
XLOC_018018,Ca_13331,30.3415,27.3144,29.6522,30.9673
XLOC_016082,Ca_13332,98.5654,107.755,114.219,142.105
XLOC_016082,Ca_13333,98.5654,107.755,114.219,142.105
XLOC_016083,Ca_13334,7.7237,6.08324,4.79386,9.33456
XLOC_016084,Ca_13335,53.7864,63.3605,35.6728,58.8818
XLOC_016085,Ca_13336,0.852668,2.49715,0.829293,1.17777
XLOC_016086,Ca_13337,37.2553,38.8869,29.3447,34.1098
XLOC_018019,Ca_13338,27.9506,27.1924,31.6861,30.654
XLOC_018020,Ca_13339,17.6555,15.9222,14.7694,14.5012
XLOC_013255,Ca_13340,9.35177,9.66603,20.7979,35.5844
XLOC_014909,Ca_13341,63.6875,68.0081,58.2228,65.0257
XLOC_014908,Ca_13342,12.0145,9.73776,12.2461,13.9624
XLOC_014907,Ca_13343,31.0737,34.385,20.4029,31.0444
XLOC_014906,Ca_13344,14.1113,7.10267,15.4581,24.9858
XLOC_014905,Ca_13345,208.736,232.692,192.337,163.483
XLOC_013254,Ca_13346,41.0133,34.3982,39.5459,40.5926
XLOC_013253,Ca_13347,18.2836,22.4687,26.5117,23.3985
XLOC_013252,Ca_13348,42.3845,41.4943,52.8161,45.5989
XLOC_014904,Ca_13349,1.34269,1.0867,1.18324,1.43917
XLOC_014903,Ca_13350,6.44686,8.00382,9.81197,7.3392
XLOC_013251,Ca_13351,95.4339,116.509,120.644,121.732
XLOC_013250,Ca_13352,3.57226,2.99035,5.43031,4.18281
XLOC_014902,Ca_13353,0.0,0.0,0.0,0.0
XLOC_014901,Ca_13354,20.7216,14.9925,15.7676,21.4552
XLOC_014900,Ca_13355,13.8646,12.4461,12.156,12.9151
XLOC_014899,Ca_13356,26.1265,30.6534,18.3239,24.9373
XLOC_014898,Ca_13357,1.33302,0.964092,0.429921,0.645209
XLOC_013249,Ca_13358,0.545685,0.533887,0.86089,0.910253
XLOC_013248,Ca_13359,0.366207,0.428277,0.539188,0.429079
XLOC_014897,Ca_13360,418.411,529.384,639.427,783.243
XLOC_014896,Ca_13361,33.9096,26.4334,29.2691,22.5247
XLOC_014895,Ca_13362,33.2116,37.7663,37.2163,36.4829
XLOC_013246,Ca_13363,168.747,194.869,155.431,163.486
XLOC_014894,Ca_13364,172.638,170.167,167.045,163.215
XLOC_014893,Ca_13365,3.16749,3.62247,4.46002,4.48224
XLOC_014892,Ca_13366,634.32,630.482,745.935,1094.45
XLOC_014891,Ca_13367,17.8991,19.6139,21.4737,19.1155
XLOC_014889,Ca_13368,2.9186,2.28762,3.95924,3.10399
XLOC_014888,Ca_13369,7.82367,8.8831,6.90846,8.36342
XLOC_013245,Ca_13370,14.2832,13.1531,10.5112,13.241
XLOC_014887,Ca_13371,0.0,0.306279,0.377248,0.0
