Gene_identifier,Root-Control,Root-DS,Shoot-Control,Shoot-DS
Ca_03269,42.1295,26.7526,32.9838,23.9558
Ca_03270,0.139409,0.227982,1.80824,0.111289
Ca_03271,28.0958,34.4828,17.1803,19.2145
Ca_03272,48.2213,72.4045,71.8852,68.9332
Ca_03273,7.11146,3.36258,0.27081,0.125138
Ca_03274,5.80602,18.0046,0.0,0.662878
Ca_03275,12.0679,13.158,12.6651,12.3148
Ca_03276,0.0,0.148945,0.0,0.14029
Ca_03277,44.2885,111.562,62.7714,226.598
Ca_03278,3.07308,4.38898,2.7702,1.73418
Ca_03279,25.9284,25.2124,19.5478,40.2511
Ca_03280,6.40003,6.7829,5.4501,2.05245
Ca_03281,12.1802,16.9361,14.1634,20.0109
Ca_03282,28.0254,27.4833,10.3497,15.8295
Ca_03283,83.678,98.2421,129.651,32.0621
Ca_03284,32.8739,48.5404,52.3298,32.961
Ca_03285,30.173,179.954,39.3696,27.1421
Ca_03286,1.58527,1.6385,4.06302,2.23323
Ca_03287,2.45662,7.64195,7.36924,0.71498
Ca_03288,195.702,96.0947,82.4612,116.054
Ca_03289,14.1278,9.17629,13.2526,12.4619
Ca_03290,6.16044,11.8124,70.2122,18.6899
Ca_03291,19.1232,17.9553,27.252,16.7694
Ca_03292,1.92929,2.03307,0.0876369,0.030611
Ca_03293,19.4584,17.6762,23.1319,15.8641
Ca_03294,6.19865,7.31222,8.85812,2.45089
Ca_03295,53.5256,120.701,24.1217,22.6893
Ca_03296,6.08817,5.69168,7.88647,4.47283
Ca_03297,1.14054,2.43253,18.4578,14.25
Ca_03298,8.26061,4.15041,70.8374,48.9259
Ca_03299,5.65926,7.40116,10.1711,6.17961
Ca_03300,0.082496,0.137732,0.350746,0.702836
Ca_03301,0.0,0.0,0.10942,0.0
Ca_03302,10.3999,5.44014,26.0868,40.5845
Ca_03302,9.32473,6.10533,5.63823,5.42154
Ca_03303,9.16803,8.06009,12.407,13.7837
Ca_03304,0.0,0.0206392,0.0,0.0
Ca_03305,0.0,0.0,0.0,0.0
Ca_03306,11.3159,0.750574,36.591,36.1477
Ca_03307,19.4323,30.4295,21.7927,30.34
Ca_03308,90.6204,161.464,181.813,52.1918
Ca_03309,22.5628,22.208,16.1804,19.8204
Ca_03310,26.2689,26.7153,32.0786,30.9461
Ca_03311,3.02681,4.02996,5.06652,22.1861
Ca_03312,29.9826,25.5229,35.377,8.74634
Ca_03313,17.2088,21.7003,20.162,23.2709
Ca_03314,25.5938,25.0425,20.8669,19.0091
Ca_03315,23.3909,62.8633,3.24159,2.43945
Ca_03316,238.529,63.2814,5.9743,4.93986
Ca_03317,0.0,0.0,0.0,0.0
Ca_03318,25.4317,55.9238,10.2842,9.64665
Ca_03319,5.02274,11.7952,11.5935,6.95256
Ca_03320,8.99676,9.47201,5.8167,6.43569
Ca_03321,3.39923,5.42219,10.5684,4.57928
Ca_03322,36.3047,33.5022,19.7982,26.243
Ca_03323,0.288425,0.551446,0.111489,0.116271
Ca_03324,15.5011,13.2225,21.4553,14.1437
Ca_03325,45.791,71.9873,43.252,32.868
Ca_03326,10.4222,28.5144,2.23103,4.15126
Ca_03327,13.0312,12.2684,11.3276,12.3646
Ca_03328,24.6037,36.2097,13.8274,23.7165
Ca_03329,9.18837,8.77146,80.201,27.6053
Ca_03330,19.9277,17.9404,18.436,18.7763
Ca_03331,19.2891,11.9387,21.983,5.36353
Ca_03332,13.8947,4.39827,7.1516,6.69553
Ca_03333,0.610062,0.309527,0.844656,0.478327
Ca_03334,0.0,0.0,2.63162,1.37245
Ca_03335,15.5537,94.4249,1.85888,3.57988
Ca_03336,269.486,336.153,334.74,202.119
Ca_03337,28.1635,31.4921,26.6424,26.0144
Ca_03338,19.6524,10.3541,15.6187,10.5807
Ca_03339,10.497,10.0534,8.65794,11.8612
Ca_03340,34.5457,30.3622,16.6968,22.0466
Ca_03341,0.815693,2.51012,3.6844,1.55161
Ca_03342,57.595,57.3969,48.7494,45.8828
Ca_03343,57.595,57.3969,48.7494,45.8828
Ca_03344,8.81977,31.6506,57.2817,40.677
Ca_03345,15.0903,21.2149,9.30167,18.1583
Ca_03346,3.68498,1.98711,19.636,20.6636
Ca_03347,8.07108,8.28633,11.7293,8.30576
Ca_03348,3.89713,3.21435,5.51357,2.55549
Ca_03349,0.874757,0.339844,0.269671,0.0469466
Ca_03350,22.5022,19.6888,8.04737,6.45168
Ca_03351,1.69821,2.86991,3.14721,2.04314
Ca_03352,4.7607,3.19549,14.6127,15.8903
Ca_03353,1.0402,1.55806,1.12198,3.84085
Ca_03354,23.1488,19.2026,9.95484,10.3147
Ca_03355,0.0,0.398374,0.0526956,0.110273
Ca_03356,112.773,169.139,61.9283,67.3888
Ca_03357,10.5538,13.1163,22.0043,19.1438
Ca_03358,33.2988,24.6819,22.6896,19.3374
Ca_03359,0.0,0.0,0.0,0.0
Ca_03360,21.1823,93.8224,5.02017,8.31197
Ca_03361,3.29339,3.96237,6.66191,5.06088
Ca_03362,16.0763,24.1048,38.1106,7.5178
Ca_03363,1.48519,3.3043,5.99167,3.49377
Ca_03364,5.2682,6.1889,8.70013,4.41534
Ca_03365,1.08326,0.405814,4.58428,43.3404
Ca_03366,16.4623,4.95829,35.6976,72.2176
Ca_03367,23.2628,21.8254,24.3596,38.578
Ca_03368,23.2628,21.8254,24.3596,38.578
Ca_03369,78.3665,81.6393,74.2512,50.7838
Ca_03370,5.08572,7.03153,7.18652,5.7735
Ca_03371,7.04424,26.5224,24.2323,9.57393
Ca_03372,0.28271,0.188492,0.0,0.0922245
Ca_03373,3.726,1.32305,105.294,29.6462
Ca_03374,2.38359,3.87674,0.0,0.0
Ca_03375,163.523,214.973,234.812,108.711
Ca_03376,102.75,104.619,68.6323,57.5986
Ca_03377,17.4442,18.5603,9.46902,8.1705
Ca_03378,33.9761,103.861,2.08428,7.61015
Ca_03379,14.8425,39.5687,4.48313,19.3399
Ca_03380,17.8188,1.95764,7.6686,5.58257
Ca_03381,4.43345,40.0545,1.09132,10.0249
Ca_03382,42.8509,45.8618,49.2173,61.8483
Ca_03383,19.5598,45.7819,0.442586,0.832015
Ca_03384,2.71682,0.512951,2.91755,3.33253
Ca_03384,9.45989,6.44837,36.543,21.0808
Ca_03385,9.05088,4.31881,1.48789,1.94371
Ca_03386,30.2767,61.9362,1.09187,1.42018
Ca_03387,6.76016,12.9342,17.4927,11.1556
Ca_03388,44.0926,47.8617,100.591,68.5905
Ca_03389,44.0926,47.8617,100.591,68.5905
Ca_03390,44.0926,47.8617,100.591,68.5905
