Ca_ID,XLOC_ID,10685_AFL_C,10685_AFL_S,10685_AFR_C,10685_AFR_S,10685_BFL_C,10685_BFL_S,10685_BFR_C,10685_BFR_S
Ca_12464,XLOC_005686,13.1117,2.22545,1.39591,0.0,11.9669,4.68086,1.4914,1.6742
Ca_12470,XLOC_004477,1.51351,2.94216,3.41639,2.72571,5.78893,6.63968,2.15647,3.25803
Ca_12471,XLOC_004476,12.8436,4.71811,29.8638,18.6804,12.726,9.64461,32.0379,19.9948
Ca_12472,XLOC_004475,2.82025,4.87855,13.1663,19.4143,2.60601,11.0987,16.3684,16.3292
Ca_12474,XLOC_004474,67.0539,285.599,126.047,357.443,52.4209,105.277,130.933,360.609
Ca_12485,XLOC_005673,10.0342,20.3646,0.0,0.0,3.32117,8.94257,0.0,0.0
Ca_12486,XLOC_004468,8.73251,10.0257,4.98184,24.2165,13.0753,6.47574,3.91049,19.1153
Ca_12494,XLOC_004465,7.98796,5.15817,2.72044,2.0705,12.6239,5.71386,1.12215,1.83436
Ca_12497,XLOC_005665,217.85,266.454,245.199,224.809,211.662,329.246,279.07,212.026
Ca_12498,XLOC_005665,217.85,266.454,245.199,224.809,211.662,329.246,279.07,212.026
Ca_12498,XLOC_004462,24.677,6.25677,13.5042,3.03202,22.1138,27.3331,7.91546,5.88423
Ca_12500,XLOC_005663,5.31696,0.0,3.35252,7.6453,9.06777,1.66949,3.86734,7.99582
Ca_12508,XLOC_004457,1.81488,17.725,5.67877,5.97947,0.0,10.1925,6.89307,6.31226
Ca_12512,XLOC_005655,14.7922,10.1053,31.5537,21.9273,14.7243,17.5236,30.7119,21.0533
Ca_12513,XLOC_004456,11.5543,2.25947,36.0714,47.4652,16.5686,5.33028,36.4142,52.9209
Ca_12515,XLOC_004454,13.594,12.4179,5.04778,0.0,10.8061,3.22214,4.57332,0.0
Ca_12517,XLOC_004452,0.0,0.0,0.0,0.0,0.0,11.4327,0.0,0.0
Ca_12519,XLOC_004450,148.083,167.403,131.167,171.834,242.551,265.891,151.415,167.856
Ca_12521,XLOC_004449,36.5117,19.2668,42.874,23.5966,28.8907,8.11081,43.1651,21.0067
Ca_12523,XLOC_005651,14.2927,11.2965,3.88112,2.21367,32.9998,16.1159,2.93609,2.38124
Ca_12527,XLOC_005648,1.70317,1.20252,0.0,0.0,2.5629,2.74743,1.2145,0.0
Ca_12528,XLOC_003672,0.0,0.0,39.0109,16.7709,0.0,0.0,39.6154,16.0133
Ca_12529,XLOC_003671,24.4837,11.9255,28.7892,45.3546,42.5214,9.17133,32.2679,41.2391
Ca_12532,XLOC_003668,1.77777,0.0,0.0,1.57688,2.49256,1.7491,0.0,1.53052
Ca_12543,XLOC_003662,12.013,4.37979,4.64394,6.29811,12.169,6.13361,4.47791,3.32164
Ca_12556,XLOC_003657,164.821,448.812,3.89961,1.66717,329.075,521.976,3.1083,3.96174
Ca_12557,XLOC_004850,9.9952,12.3522,8.1417,2.91813,10.6083,4.80426,6.21426,3.45284
Ca_12558,XLOC_003656,8.33238,9.54141,0.0,0.0,14.169,4.14725,0.0,0.0
Ca_12570,XLOC_004845,56.3193,45.647,76.3415,68.2288,72.2769,40.1458,77.7118,74.8892
