Gene_identifier,Root-Control,Root-CS,Shoot-Control,Shoot-CS
Ca_13803,0.0,0.0,0.0,0.0
Ca_13804,30.5161,22.9573,18.1175,17.4122
Ca_13805,23.6581,21.3826,23.5488,35.5079
Ca_13806,1.84583,0.578003,1.17194,0.490194
Ca_13807,17.324,13.1093,10.0253,6.89428
Ca_13808,0.0805134,0.30958,0.154288,0.159744
Ca_13809,15.3995,38.4915,14.819,17.6572
Ca_13810,50.8378,69.6906,15.9213,21.279
Ca_13811,27.5889,30.449,20.6865,20.2638
Ca_13812,2.08993,19.9642,0.191098,0.340259
Ca_13813,18.8388,30.6637,10.8196,12.7023
Ca_13814,0.0609049,0.0,0.454841,0.631462
Ca_13815,11.9579,8.75757,13.7998,12.3512
Ca_13816,0.0,0.0,0.0,0.0
Ca_13817,16.0745,13.0151,17.5587,11.6259
Ca_13818,0.22217,0.384815,0.597937,0.386524
Ca_13819,11.7609,18.2273,9.31044,9.76399
Ca_13820,0.582827,3.10217,42.9244,50.4233
Ca_13821,131.094,133.892,126.972,119.222
Ca_13822,0.0,0.0,0.0,0.0
Ca_13823,5.83674,4.32043,5.58168,4.89747
Ca_13824,12.3248,12.9168,3.13101,5.30886
Ca_13825,3.14889,4.64411,12.2112,18.8705
Ca_13826,144.766,118.663,152.604,113.271
Ca_13827,4.4984,2.194,2.97261,1.80626
Ca_13828,16.9161,19.7408,1.9111,3.02381
Ca_13829,22.1176,22.9728,30.102,29.8971
Ca_13830,25.5025,19.105,7.73988,5.37113
Ca_13831,1.37906,2.43454,5.87239,4.06328
Ca_13832,0.0,0.0,0.616802,0.120439
Ca_13833,0.84827,0.984013,2.49675,1.88529
Ca_13834,7.25592,10.5154,9.49753,7.24823
Ca_13835,42.7399,51.3173,41.9665,35.9142
Ca_13836,13.1913,13.5825,152.934,152.185
Ca_13837,13.1913,13.5825,152.934,152.185
Ca_13838,5.80347,5.46302,6.20679,6.92667
Ca_13839,0.180799,0.0,0.0,0.0
Ca_13840,17.3251,17.0147,0.14049,0.149999
Ca_13841,7.99501,6.76984,4.19168,4.08559
Ca_13842,54.2981,21.8681,45.8694,33.1018
Ca_13843,0.0,0.0,0.0,0.0
Ca_13844,0.0,0.0,0.0,0.0
Ca_13845,21.2518,16.3072,5.13389,2.87517
Ca_13846,46.3021,31.853,24.9313,24.5808
Ca_13847,6.98886,8.03489,4.28619,3.93263
Ca_13848,23.4847,28.3793,32.4574,43.9433
Ca_13849,0.124894,0.214458,1.87587,1.57736
Ca_13850,13.6533,6.79502,4.08009,3.90254
Ca_13851,23.4839,34.6111,24.1161,23.3458
Ca_13852,10.683,20.2989,16.7996,16.379
Ca_13853,4.54966,16.6433,47.9902,32.1653
Ca_13854,11.2158,3.7404,4.79836,4.28993
Ca_13855,16.4635,12.8887,11.3017,12.6753
Ca_13856,0.186001,0.121713,19.5779,15.444
Ca_13857,0.760774,0.851987,1.48747,1.42778
Ca_13858,2.27252,1.16436,7.45292,5.16891
Ca_13859,38.3248,132.488,7.49634,16.4496
Ca_13860,2.31057,1.77649,2.61965,1.89042
Ca_13861,40.9908,15.0965,8.86683,8.19555
Ca_13862,5.02359,7.08441,2.0854,3.10324
Ca_13863,0.431886,0.385297,0.463811,0.549083
Ca_13864,7.76392,27.3847,0.0,0.0
Ca_13865,15.1879,24.526,2.827,12.2811
Ca_13866,12.7851,6.81095,3.59939,7.94079
Ca_13867,246.167,208.071,141.852,152.685
Ca_13868,2.93695,2.16112,1.18851,1.00305
Ca_13869,0.0561862,0.108073,31.5403,26.7035
Ca_13870,27.4181,21.8911,15.7018,13.002
